bedrooms,accommodates,review_scores_rating,room_type_Private room,bathrooms,room_type_Shared room
2.0,4.0,99.0,0,1.0,0
2.0,5.0,97.0,0,1.0,0
0.0,3.0,97.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
0.0,2.0,60.0,0,1.0,0
4.0,9.0,98.0,0,1.0,0
2.0,4.0,100.0,0,1.5,0
1.0,4.0,97.0,0,1.0,0
3.0,6.0,99.0,0,2.5,0
1.0,2.0,100.0,1,1.0,0
2.0,3.0,98.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
4.0,8.0,98.0,0,2.5,0
0.0,2.0,93.0,0,1.0,0
2.0,5.0,86.0,1,2.0,0
1.0,1.0,98.0,1,2.0,0
1.0,4.0,100.0,1,2.0,0
2.0,2.0,98.0,0,2.0,0
1.0,2.0,98.0,1,1.0,0
1.0,2.0,72.0,0,1.0,0
1.0,2.0,94.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
2.0,2.0,100.0,1,1.0,0
0.0,2.0,90.0,1,1.0,0
1.0,1.0,98.0,1,1.0,0
4.0,6.0,60.0,0,1.0,0
4.0,10.0,100.0,0,3.0,0
2.0,6.0,96.0,1,1.0,0
2.0,4.0,97.0,0,1.5,0
1.0,4.0,100.0,0,1.0,0
1.0,2.0,99.0,1,1.5,0
1.0,2.0,98.0,1,1.0,0
0.0,3.0,100.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,3.0,99.0,1,3.0,0
2.0,5.0,98.0,0,1.0,0
1.0,3.0,100.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,2.0,97.0,1,1.0,0
1.0,2.0,60.0,0,1.0,0
1.0,2.0,91.0,0,1.0,1
3.0,8.0,96.0,0,2.0,0
1.0,2.0,100.0,1,1.0,0
0.0,2.0,98.0,0,1.0,0
1.0,4.0,87.0,0,1.0,0
1.0,2.0,94.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
4.0,7.0,99.0,0,2.0,0
0.0,4.0,98.0,1,1.0,0
3.0,9.0,98.0,0,3.0,0
0.0,2.0,98.0,0,1.0,0
1.0,1.0,96.0,0,2.0,1
1.0,2.0,98.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
0.0,4.0,98.0,1,1.0,0
1.0,2.0,95.0,1,1.0,0
1.0,2.0,90.0,1,1.0,0
1.0,4.0,90.0,0,3.0,1
0.0,2.0,98.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,1.0,97.0,0,1.0,0
1.0,1.0,98.0,0,1.5,1
1.0,4.0,90.0,1,2.0,0
0.0,1.0,99.0,1,1.0,0
1.0,2.0,95.0,1,2.0,0
2.0,6.0,98.0,0,1.0,0
1.0,2.0,92.0,1,1.0,0
1.0,2.0,98.0,1,4.0,0
1.0,3.0,70.0,0,1.0,0
2.0,4.0,98.0,0,2.0,0
3.0,5.0,90.0,0,1.5,0
3.0,1.0,97.0,1,1.0,0
0.0,2.0,99.0,0,1.0,0
0.0,4.0,98.0,0,1.0,0
1.0,2.0,95.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
1.0,2.0,91.0,1,1.0,0
0.0,2.0,96.0,0,1.0,0
0.0,2.0,100.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,93.0,1,2.0,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,2.0,97.0,0,1.0,0
4.0,8.0,100.0,1,3.5,0
3.0,6.0,100.0,0,2.0,0
2.0,4.0,98.0,0,1.0,0
1.0,4.0,100.0,1,1.0,0
2.0,4.0,100.0,0,1.0,0
1.0,4.0,86.0,0,1.0,0
2.0,4.0,99.0,0,1.0,0
2.0,6.0,95.0,0,1.5,0
3.0,6.0,97.0,0,2.0,0
1.0,3.0,100.0,0,1.0,0
2.0,4.0,99.0,0,1.0,0
1.0,2.0,83.0,0,1.0,0
4.0,10.0,98.0,0,2.0,0
1.0,1.0,100.0,1,1.0,0
0.0,2.0,94.0,0,1.0,0
3.0,6.0,90.0,0,2.0,0
1.0,1.0,93.0,1,1.0,0
1.0,2.0,97.0,1,1.0,0
1.0,1.0,98.0,1,1.0,0
2.0,4.0,87.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
2.0,6.0,99.0,0,1.5,0
2.0,2.0,98.0,0,1.0,0
1.0,2.0,97.0,0,1.0,0
3.0,7.0,95.0,0,2.0,0
0.0,3.0,99.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
1.0,2.0,99.0,0,1.0,0
2.0,4.0,98.0,0,2.5,0
0.0,2.0,98.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
2.0,6.0,99.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
3.0,5.0,100.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
3.0,6.0,94.0,0,2.0,0
4.0,8.0,93.0,0,2.0,0
4.0,10.0,97.0,0,2.0,0
3.0,6.0,100.0,0,2.0,0
0.0,2.0,99.0,0,1.0,0
3.0,10.0,89.0,0,3.0,0
0.0,2.0,98.0,1,1.0,0
1.0,3.0,98.0,0,1.0,0
3.0,10.0,100.0,0,2.0,0
1.0,4.0,100.0,0,1.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,99.0,0,1.0,0
3.0,8.0,95.0,0,2.0,0
2.0,4.0,98.0,0,1.0,0
0.0,2.0,100.0,0,1.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,2.0,97.0,1,1.0,0
0.0,2.0,98.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
2.0,3.0,99.0,0,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,3.0,100.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,2.0,99.0,1,2.0,0
3.0,7.0,94.0,0,1.0,0
1.0,1.0,96.0,0,1.0,1
4.0,8.0,96.0,0,3.0,0
2.0,4.0,91.0,0,1.0,0
1.0,1.0,100.0,1,1.0,0
0.0,4.0,98.0,0,1.0,0
1.0,1.0,99.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
2.0,4.0,100.0,0,1.0,0
1.0,4.0,98.0,0,1.0,0
1.0,1.0,100.0,1,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,6.0,99.0,0,1.0,0
1.0,2.0,97.0,0,1.0,0
0.0,2.0,60.0,1,1.0,0
3.0,6.0,100.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,3.0,99.0,0,1.0,0
2.0,8.0,95.0,0,2.0,0
1.0,2.0,98.0,0,1.0,0
0.0,1.0,99.0,0,1.0,0
3.0,10.0,94.0,0,2.0,0
1.0,2.0,100.0,0,2.0,0
1.0,2.0,99.0,0,1.0,0
3.0,6.0,100.0,0,2.5,0
1.0,2.0,98.0,1,1.5,0
3.0,4.0,98.0,0,2.0,0
1.0,2.0,99.0,1,1.0,0
1.0,3.0,96.0,0,1.0,0
4.0,10.0,100.0,0,3.0,0
1.0,2.0,97.0,1,1.0,0
1.0,3.0,94.0,0,1.0,0
2.0,4.0,100.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,2.0,95.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
2.0,6.0,100.0,0,2.0,0
1.0,2.0,98.0,0,1.0,0
0.0,3.0,97.0,0,1.0,0
1.0,2.0,93.0,1,1.0,0
1.0,4.0,96.0,0,2.0,1
2.0,4.0,100.0,0,1.0,0
1.0,2.0,86.0,1,1.0,0
0.0,2.0,86.0,1,1.0,0
3.0,6.0,93.0,0,1.0,0
2.0,4.0,98.0,0,1.5,0
1.0,1.0,97.0,1,1.0,0
3.0,7.0,92.0,0,2.0,0
1.0,2.0,88.0,1,1.0,0
1.0,2.0,91.0,1,1.0,0
1.0,4.0,98.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
1.0,2.0,98.0,0,1.5,0
1.0,2.0,95.0,1,1.5,0
1.0,2.0,93.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
2.0,6.0,99.0,0,2.0,0
2.0,4.0,98.0,0,2.0,0
1.0,2.0,92.0,1,1.5,0
1.0,4.0,96.0,0,1.0,0
0.0,3.0,93.0,0,1.0,0
3.0,6.0,90.0,0,2.5,0
3.0,8.0,98.0,0,1.0,0
3.0,6.0,98.0,0,2.0,0
1.0,3.0,91.0,1,2.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
2.0,6.0,98.0,0,2.0,0
1.0,2.0,95.0,1,1.0,0
1.0,3.0,100.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,3.0,96.0,0,1.0,0
1.0,4.0,92.0,1,1.0,0
1.0,2.0,97.0,1,1.0,0
0.0,4.0,97.0,0,1.0,0
2.0,4.0,97.0,0,2.0,0
1.0,8.0,90.0,0,2.0,1
3.0,6.0,100.0,0,1.5,0
1.0,1.0,100.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
3.0,6.0,100.0,0,2.5,0
3.0,6.0,100.0,0,2.0,0
2.0,3.0,96.0,0,1.0,0
1.0,1.0,98.0,0,2.0,1
0.0,2.0,100.0,0,1.0,0
1.0,4.0,94.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,80.0,1,1.0,0
1.0,1.0,96.0,1,1.0,0
0.0,2.0,94.0,0,1.0,0
3.0,5.0,98.0,0,3.0,0
1.0,3.0,100.0,0,1.0,0
1.0,5.0,99.0,1,2.5,0
2.0,4.0,98.0,0,1.0,0
0.0,2.0,95.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
0.0,2.0,100.0,0,1.0,0
0.0,4.0,97.0,1,1.0,0
1.0,1.0,95.0,1,1.0,0
1.0,2.0,96.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
1.0,1.0,100.0,1,0.5,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,3.0,90.0,0,3.5,1
1.0,3.0,93.0,0,1.0,0
1.0,4.0,98.0,0,1.0,0
2.0,2.0,98.0,0,1.0,0
1.0,3.0,93.0,0,1.0,0
1.0,2.0,94.0,1,1.0,0
1.0,2.0,99.0,1,1.0,0
3.0,6.0,98.0,0,2.0,0
1.0,2.0,94.0,0,1.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,97.0,0,1.0,0
1.0,2.0,20.0,1,1.0,0
3.0,7.0,93.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
0.0,1.0,100.0,0,1.0,0
1.0,2.0,98.0,1,2.0,0
1.0,2.0,98.0,0,1.0,0
2.0,5.0,98.0,0,1.0,0
2.0,6.0,98.0,0,2.0,0
1.0,2.0,93.0,1,1.5,0
1.0,4.0,100.0,0,1.0,0
1.0,1.0,97.0,1,1.0,0
1.0,2.0,93.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
0.0,3.0,67.0,1,4.0,0
1.0,3.0,85.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
3.0,6.0,99.0,0,2.0,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,89.0,0,1.0,0
1.0,2.0,98.0,1,3.0,0
3.0,6.0,93.0,0,1.5,0
2.0,5.0,95.0,0,1.0,0
2.0,4.0,98.0,0,2.5,0
2.0,4.0,80.0,0,1.0,0
2.0,6.0,92.0,0,1.0,0
4.0,10.0,100.0,0,4.0,0
3.0,6.0,98.0,0,2.0,0
1.0,2.0,91.0,0,1.0,1
1.0,2.0,80.0,1,1.0,0
1.0,2.0,96.0,1,1.0,0
3.0,5.0,98.0,0,2.0,0
3.0,6.0,98.0,0,2.0,0
2.0,4.0,98.0,0,2.0,0
0.0,2.0,98.0,1,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,4.0,88.0,0,1.0,0
0.0,3.0,98.0,0,1.0,0
1.0,2.0,99.0,1,2.0,0
1.0,2.0,94.0,0,1.0,0
0.0,2.0,80.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
1.0,2.0,93.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,4.0,100.0,0,2.0,1
1.0,2.0,99.0,0,1.0,0
1.0,2.0,92.0,1,1.0,0
1.0,2.0,96.0,1,1.0,0
0.0,2.0,98.0,1,1.0,0
1.0,1.0,100.0,1,2.0,0
2.0,4.0,98.0,0,1.0,0
1.0,2.0,97.0,1,1.0,0
1.0,4.0,100.0,0,1.0,0
1.0,2.0,98.0,1,1.0,0
2.0,6.0,100.0,0,2.0,0
1.0,1.0,99.0,1,1.0,0
1.0,2.0,90.0,1,1.0,0
0.0,3.0,100.0,0,1.0,0
0.0,2.0,100.0,1,1.0,0
2.0,3.0,91.0,0,1.0,0
3.0,7.0,100.0,0,1.0,0
3.0,6.0,100.0,0,2.0,0
1.0,2.0,100.0,1,1.0,0
1.0,4.0,96.0,1,1.0,0
3.0,10.0,98.0,0,2.0,0
1.0,3.0,100.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
0.0,4.0,95.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,85.0,1,1.0,0
3.0,6.0,98.0,0,1.5,0
2.0,3.0,100.0,0,1.0,0
1.0,2.0,94.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,3.0,98.0,1,1.0,0
1.0,6.0,89.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,2.0,99.0,1,1.5,0
1.0,1.0,100.0,1,1.0,0
1.0,3.0,97.0,0,1.0,0
1.0,2.0,90.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,97.0,1,1.0,0
1.0,1.0,100.0,1,1.0,0
2.0,5.0,97.0,0,1.5,0
0.0,2.0,100.0,0,1.0,0
2.0,4.0,97.0,0,1.0,0
2.0,5.0,98.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,3.0,100.0,0,1.0,0
3.0,6.0,95.0,0,2.0,0
1.0,2.0,93.0,0,1.0,0
2.0,2.0,98.0,1,1.5,0
1.0,2.0,97.0,1,1.0,0
1.0,4.0,96.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
4.0,7.0,98.0,0,2.5,0
2.0,9.0,96.0,0,1.0,0
1.0,2.0,99.0,1,1.5,0
0.0,2.0,98.0,0,1.0,0
1.0,2.0,95.0,1,1.0,0
1.0,2.0,93.0,0,1.0,0
1.0,2.0,96.0,1,1.5,0
1.0,2.0,100.0,1,2.0,0
2.0,5.0,100.0,0,1.0,0
1.0,2.0,80.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,1.0,90.0,1,1.0,0
4.0,7.0,98.0,0,2.0,0
2.0,4.0,94.0,0,1.0,0
1.0,2.0,97.0,1,1.0,0
2.0,4.0,93.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
2.0,5.0,95.0,0,2.0,0
3.0,8.0,98.0,1,2.0,0
2.0,5.0,98.0,0,2.0,0
2.0,4.0,98.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
1.0,2.0,95.0,0,1.0,0
0.0,1.0,98.0,1,1.0,0
1.0,3.0,98.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
2.0,5.0,98.0,0,1.0,0
1.0,1.0,98.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
0.0,4.0,98.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,2.0,93.0,1,2.0,0
1.0,3.0,98.0,0,3.5,1
3.0,6.0,98.0,0,2.0,0
1.0,4.0,92.0,1,1.0,0
1.0,2.0,99.0,0,1.0,0
1.0,1.0,99.0,1,1.0,0
3.0,6.0,97.0,0,1.0,0
1.0,2.0,90.0,1,1.0,0
2.0,2.0,86.0,0,1.0,0
1.0,2.0,98.0,1,2.0,0
1.0,1.0,94.0,1,1.0,0
3.0,6.0,97.0,0,2.5,0
3.0,5.0,100.0,0,2.0,0
0.0,4.0,96.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
0.0,3.0,100.0,0,1.0,0
2.0,6.0,98.0,0,2.0,0
1.0,2.0,100.0,1,1.0,0
3.0,5.0,98.0,0,2.0,0
1.0,3.0,92.0,1,1.5,0
2.0,5.0,96.0,0,1.0,0
2.0,4.0,98.0,0,2.0,0
1.0,4.0,93.0,1,1.0,0
1.0,2.0,99.0,1,1.0,0
2.0,6.0,93.0,0,2.0,0
1.0,2.0,90.0,0,1.0,0
1.0,2.0,93.0,1,1.0,0
2.0,4.0,100.0,0,2.0,0
3.0,6.0,98.0,0,2.0,0
1.0,3.0,97.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
3.0,6.0,97.0,0,3.0,0
2.0,4.0,100.0,0,1.0,0
1.0,1.0,94.0,1,2.0,0
1.0,2.0,100.0,0,1.0,0
1.0,2.0,92.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
2.0,4.0,99.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,1.0,80.0,1,1.0,0
1.0,2.0,98.0,0,1.5,0
1.0,4.0,100.0,0,1.0,0
1.0,1.0,100.0,1,1.0,0
1.0,2.0,95.0,1,1.0,0
1.0,2.0,92.0,0,1.0,0
2.0,4.0,96.0,0,1.0,0
1.0,3.0,95.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,4.0,99.0,1,1.5,0
3.0,7.0,97.0,0,1.5,0
1.0,2.0,100.0,0,4.0,1
2.0,4.0,98.0,0,1.0,0
0.0,2.0,99.0,0,1.0,0
1.0,1.0,40.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,97.0,1,1.0,0
2.0,6.0,97.0,0,1.0,0
2.0,4.0,100.0,1,2.5,0
1.0,4.0,96.0,1,1.0,0
3.0,6.0,100.0,0,2.0,0
0.0,2.0,98.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
1.0,1.0,100.0,0,1.0,0
3.0,6.0,100.0,0,1.5,0
1.0,1.0,60.0,1,2.0,0
1.0,1.0,96.0,1,2.5,0
4.0,6.0,100.0,0,3.5,0
3.0,4.0,100.0,0,2.5,0
1.0,3.0,98.0,0,1.0,0
1.0,2.0,90.0,0,1.5,0
2.0,10.0,99.0,0,2.0,0
2.0,4.0,100.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
1.0,2.0,89.0,1,1.5,0
1.0,4.0,90.0,1,1.0,0
2.0,4.0,100.0,0,1.5,0
1.0,1.0,95.0,1,1.5,0
1.0,3.0,97.0,0,1.0,0
2.0,4.0,100.0,0,1.0,0
1.0,4.0,98.0,0,2.0,1
1.0,4.0,96.0,0,1.0,0
1.0,2.0,95.0,1,1.0,0
2.0,8.0,90.0,0,1.0,0
1.0,2.0,80.0,0,1.0,1
0.0,1.0,95.0,1,1.0,0
0.0,3.0,96.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,3.0,97.0,0,1.0,0
2.0,4.0,99.0,0,1.0,0
2.0,6.0,100.0,1,2.5,0
1.0,1.0,93.0,1,1.0,0
1.0,2.0,97.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,1.0,98.0,1,2.0,0
3.0,6.0,98.0,0,2.0,0
2.0,8.0,97.0,0,3.0,0
2.0,4.0,100.0,0,1.0,0
1.0,4.0,99.0,0,1.0,0
2.0,4.0,100.0,0,1.0,0
3.0,4.0,93.0,0,2.0,0
1.0,2.0,89.0,1,2.0,0
1.0,2.0,99.0,1,2.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,95.0,0,4.0,1
1.0,1.0,100.0,1,2.0,0
1.0,2.0,96.0,1,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,2.0,96.0,1,1.0,0
1.0,1.0,96.0,1,1.0,0
1.0,4.0,90.0,1,1.0,0
2.0,6.0,100.0,1,2.0,0
2.0,5.0,92.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
1.0,2.0,98.0,0,1.0,0
3.0,6.0,98.0,0,2.5,0
1.0,1.0,100.0,0,1.0,1
0.0,2.0,80.0,1,1.0,0
2.0,6.0,100.0,0,1.5,0
3.0,6.0,100.0,0,2.0,0
2.0,4.0,98.0,1,1.0,0
3.0,6.0,100.0,0,3.0,0
0.0,2.0,100.0,0,1.0,0
4.0,6.0,98.0,0,1.0,0
1.0,2.0,100.0,1,1.5,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,84.0,1,1.5,0
1.0,2.0,98.0,1,1.0,0
1.0,2.0,84.0,1,1.0,0
1.0,4.0,96.0,0,1.0,0
1.0,2.0,99.0,0,1.0,0
1.0,2.0,95.0,1,1.0,0
1.0,1.0,100.0,0,1.0,0
1.0,2.0,99.0,0,1.0,0
0.0,3.0,97.0,0,1.0,0
3.0,6.0,94.0,0,1.5,0
1.0,4.0,96.0,0,0.0,1
1.0,3.0,98.0,0,1.0,0
1.0,6.0,88.0,0,1.5,0
1.0,2.0,100.0,0,1.0,0
1.0,2.0,96.0,0,1.0,0
1.0,1.0,99.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,7.0,97.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
3.0,3.0,93.0,0,2.0,0
1.0,1.0,96.0,0,2.0,1
1.0,2.0,94.0,1,1.0,0
2.0,4.0,92.0,0,1.0,0
0.0,2.0,70.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
1.0,4.0,93.0,0,4.0,1
1.0,4.0,99.0,0,1.0,0
1.0,2.0,99.0,1,1.0,0
1.0,4.0,99.0,0,1.0,0
1.0,2.0,96.0,1,1.0,0
0.0,2.0,96.0,0,1.0,0
3.0,10.0,89.0,0,2.0,0
2.0,6.0,100.0,1,1.0,0
3.0,6.0,93.0,0,2.0,0
0.0,2.0,98.0,0,1.0,0
1.0,3.0,60.0,0,1.0,1
2.0,3.0,93.0,0,2.0,0
3.0,7.0,100.0,0,2.0,0
2.0,5.0,93.0,0,1.0,0
3.0,6.0,100.0,0,2.5,0
2.0,4.0,100.0,0,2.0,0
1.0,2.0,60.0,0,1.0,0
1.0,1.0,88.0,1,0.5,0
0.0,4.0,100.0,0,1.0,0
1.0,2.0,100.0,0,1.0,0
1.0,1.0,98.0,0,1.0,0
2.0,4.0,98.0,0,1.5,0
1.0,2.0,99.0,0,1.0,0
2.0,4.0,98.0,0,2.0,0
1.0,2.0,99.0,1,1.0,0
1.0,1.0,95.0,1,1.5,0
2.0,5.0,100.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
3.0,6.0,100.0,0,4.0,0
1.0,2.0,92.0,1,1.0,0
4.0,10.0,98.0,0,4.0,0
1.0,4.0,98.0,0,1.0,0
0.0,4.0,100.0,0,1.0,0
1.0,3.0,93.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
2.0,4.0,98.0,0,2.0,0
2.0,5.0,98.0,0,1.0,0
3.0,8.0,98.0,0,2.5,0
4.0,8.0,99.0,0,2.5,0
1.0,2.0,98.0,0,1.0,0
0.0,2.0,100.0,1,1.0,0
0.0,4.0,97.0,1,1.0,0
1.0,4.0,100.0,0,1.0,0
4.0,8.0,100.0,0,2.0,0
1.0,2.0,40.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
4.0,6.0,98.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
1.0,2.0,97.0,1,1.5,0
2.0,6.0,98.0,0,2.0,0
2.0,3.0,99.0,0,1.0,0
1.0,2.0,90.0,1,0.5,0
0.0,2.0,100.0,1,1.0,0
0.0,2.0,100.0,0,1.0,0
1.0,3.0,98.0,1,1.5,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,95.0,1,2.0,0
1.0,1.0,98.0,1,1.0,0
3.0,7.0,99.0,0,2.0,0
2.0,4.0,98.0,0,2.0,0
1.0,1.0,100.0,1,1.0,0
1.0,4.0,94.0,0,1.0,0
1.0,2.0,95.0,0,1.0,0
3.0,7.0,98.0,0,3.5,0
1.0,4.0,98.0,0,2.0,1
1.0,1.0,98.0,1,1.0,0
0.0,2.0,100.0,0,1.0,0
0.0,2.0,80.0,1,4.0,0
0.0,2.0,100.0,0,1.0,0
1.0,3.0,100.0,0,1.0,0
3.0,6.0,100.0,0,1.0,0
1.0,2.0,89.0,1,1.0,0
1.0,3.0,99.0,1,1.0,0
1.0,2.0,87.0,1,1.0,0
1.0,2.0,98.0,1,1.0,0
1.0,2.0,97.0,1,1.0,0
1.0,1.0,97.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
3.0,6.0,98.0,0,2.0,0
1.0,1.0,91.0,1,1.0,0
0.0,2.0,98.0,1,1.0,0
4.0,6.0,98.0,0,1.5,0
1.0,3.0,98.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
0.0,4.0,96.0,1,1.0,0
1.0,2.0,98.0,1,4.0,0
1.0,2.0,95.0,0,1.0,0
1.0,1.0,100.0,1,1.5,0
0.0,5.0,96.0,0,1.0,0
0.0,2.0,98.0,0,1.0,0
1.0,2.0,90.0,0,1.0,0
3.0,8.0,95.0,0,2.0,0
1.0,2.0,82.0,1,3.0,0
1.0,4.0,98.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
3.0,6.0,100.0,0,1.5,0
0.0,4.0,99.0,0,1.0,0
2.0,4.0,95.0,0,1.0,0
1.0,3.0,88.0,0,1.0,0
1.0,4.0,98.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
3.0,10.0,93.0,0,2.0,0
1.0,1.0,94.0,1,1.0,0
4.0,6.0,100.0,0,4.0,0
1.0,2.0,100.0,0,1.0,0
3.0,4.0,90.0,0,1.5,0
1.0,3.0,98.0,0,1.0,0
0.0,4.0,100.0,1,1.0,0
1.0,2.0,94.0,1,2.0,0
0.0,2.0,98.0,0,1.0,0
1.0,1.0,98.0,1,1.0,0
2.0,6.0,98.0,0,1.0,0
0.0,2.0,95.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
4.0,8.0,93.0,0,2.0,0
1.0,1.0,98.0,0,1.0,1
0.0,3.0,97.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
4.0,10.0,91.0,0,2.0,0
2.0,4.0,95.0,0,1.0,0
0.0,2.0,87.0,0,1.0,0
2.0,4.0,94.0,0,1.0,0
2.0,5.0,98.0,0,1.0,0
1.0,2.0,96.0,0,2.0,0
2.0,4.0,99.0,0,2.0,0
2.0,2.0,93.0,1,1.0,0
2.0,4.0,92.0,1,1.0,0
2.0,6.0,100.0,0,1.5,0
0.0,2.0,98.0,0,1.0,0
0.0,2.0,98.0,1,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,98.0,0,1.0,0
2.0,4.0,100.0,0,2.0,0
2.0,4.0,98.0,0,2.0,0
2.0,4.0,100.0,0,1.0,0
1.0,4.0,100.0,0,1.0,0
3.0,6.0,97.0,0,1.0,0
1.0,2.0,98.0,0,1.0,0
2.0,4.0,98.0,0,1.0,0
1.0,2.0,100.0,1,1.0,0
1.0,2.0,96.0,1,1.0,0
0.0,2.0,98.0,0,1.0,0
